"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"I35","Tucker-Guthrie Memorial","36.85981028","-83.36101639","","","","","","","",""
"UDD","Bermuda Dunes","33.7484375","-116.2748133","","","","","","","",""
"31F","Gaines County","32.67535389","-102.652685","","","","","","","",""
"PYX","Perryton Ochiltree County","36.41200333","-100.7517883","","","","","","","",""
"3A3","Anson County","35.02397611","-80.08127333","","","","","","","",""
"ROS","Rush City Regional","45.69801389","-92.95298972","","","","","","","",""
"AJR","Habersham County","34.50081944","-83.55487","","","","","","","",""
"Q55","Dimmitt Municipal","34.56673556","-102.3226947","","","","","","","",""
"IEN","Pine Ridge","43.02257694","-102.5110728","","","","","","","",""
"EMM","Kemmerer Municipal","41.82494611","-110.5590586","","","","","","","",""
"CXP","Carson","39.19222972","-119.7343611","","","","","","","",""
"12J","Brewton Municipal","31.05126306","-87.06796833","","","","","","","",""
"CRX","Roscoe Turner ","34.91496778","-88.60348361","","","","","","","",""
"CFJ","Crawfordsville Municipal","39.97562861","-86.91986361","","","","","","","",""
"RCX","Rusk County","45.49825694","-91.00186361","","","","","","","",""
"0I8","Cynthiana-Harrison County","38.36674167","-84.28410056","","","","","","","",""
"5M9","Marion-Crittenden County","37.33616222","-88.11113611","","","","","","","",""
"FEP","Albertus","42.24626722","-89.58223944","","","","","","","",""
"06A","Moton  Municipal","32.46047167","-85.68003611","","","","","","","",""
"RKW","Rockwood Municipal","35.922295","-84.68966278","","","","","","","",""
"F44","Athens Jones Municipal","32.16384778","-95.82835306","","","","","","","",""
"RVL","Mifflin Cty","40.67737417","-77.62682833","","","","","","","",""
"A32","Butte Valley","41.88709222","-121.9755614","","","","","","","",""
"GFZ","Greenfield Municipal","41.32702778","-94.44572222","","","","","","","",""
"ATS","Artesia Municipal","32.85252806","-104.4676864","","","","","","","",""
"FIT","Fitchburg Municipal","42.55412194","-71.75895639","","","","","","","",""
"9W7","Currituck County","36.39893194","-76.01631111","","","","","","","",""
"CKV","Outlaw ","36.62188083","-87.41495361","","","","","","","",""
"3Z9","Haines SPB","59.23495111","-135.4407181","","","","","","","",""
"Z08","Ofu","14.18435056","-169.6700236","","","","","","","",""
"L04","Holtville","32.84032361","-115.2674806","","","","","","","",""
"Y03","Springfield Municipal","42.87999833","-97.90117972","","","","","","","",""
"HUS","Hughes","66.04112167","-154.2631903","","","","","","","",""
"SWT","Seward Municipal","40.86525806","-97.10931306","","","","","","","",""
"0G3","Tecumseh Municipal","40.39944417","-96.17139694","","","","","","","",""
"SAW","Sawyer","46.35361111","-87.39583222","","","","","","","",""
"SFD","Bob Wiley ","43.39058278","-99.84256194","","","","","","","",""
"9A3","Chuathbaluk","61.58317306","-159.2359667","","","","","","","",""
"JYL","Plantation Airpark","32.64544861","-81.59649722","","","","","","","",""
"1H0","Creve Coeur","38.72752","-90.50830417","","","","","","","",""
"GDY","Grundy Municipal","37.23240111","-82.12499083","","","","","","","",""
"17J","Donalsonville Municipal","31.00694444","-84.87761111","","","","","","","",""
"H88","Municipal","37.605825","-90.28731389","","","","","","","",""
"FPR","St. Lucie County International","27.49505556","-80.36827778","","","","","","","",""
"AFM","Ambler","67.10610472","-157.8536203","","","","","","","",""
"GNG","Gooding Municipal","42.91716639","-114.7651575","","","","","","","",""
"LVK","Livermore Municipal","37.69339944","-121.8203519","","","","","","","",""
"ODX","Evelyn Sharp ","41.62425","-98.95236111","","","","","","","",""
"3WO","Shawano Municipal","44.78777778","-88.56152444","","","","","","","",""
"LAA","Lamar Muni","38.06969444","-102.6885","","","","","","","",""
"EUL","Caldwell Industrial","43.64186111","-116.6357778","","","","","","","",""
"DLO","Delano Municipal","35.74558056","-119.2365039","","","","","","","",""
"AMW","Ames Municipal","41.99206972","-93.62180139","","","","","","","",""
"HAO","Hamilton-Fairfield","39.36448861","-84.52457722","","","","","","","",""
"UDG","Darlington County","34.44919444","-79.89036111","","","","","","","",""
"SHN","Sanderson ","47.23355556","-123.1475556","","","","","","","",""
"RBW","Walterboro Municipal","32.92052778","-80.64125","","","","","","","",""
"EHA","Elkhart-Morton County","37.00188194","-101.8821258","","","","","","","",""
"N66","Oneonta Muni","42.52476694","-75.06446167","","","","","","","",""
"BKD","Breckenridge Stephens County","32.71904694","-98.89099972","","","","","","","",""
"3J1","Ridgeland","32.49268694","-80.99233028","","","","","","","",""
"C73","Dixon Muni-Charles R Walgreen ","41.83369889","-89.44621333","","","","","","","",""
"47A","Cherokee County","34.31058333","-84.42391667","","","","","","","",""
"AUO","Auburn-Opelik","32.61635417","-85.43355944","","","","","","","",""
"VJI","Virginia Highlands","36.68711028","-82.03333583","","","","","","","",""
"EKY","Bessemer Municipal","33.31288444","-86.92591889","","","","","","","",""
"NRN","Norton Municipal ","39.84914444","-99.89320583","","","","","","","",""
"WHP","Whiteman","34.25932528","-118.4134331","","","","","","","",""
"PGM","Port Graham","59.34825944","-151.8315389","","","","","","","",""
"98D","Onida Municipal","44.70414917","-100.1087353","","","","","","","",""
"UKF","Wilkes County","36.22284028","-81.0983375","","","","","","","",""
"PNE","Northeast Philadelphia","40.08194417","-75.01058667","","","","","","","",""
"LWT","Lewistown Muni","47.04913944","-109.4666006","","","","","","","",""
"APF","Naples Municipal","26.15247222","-81.77544444","","","","","","","",""
"UOS","Franklin County","35.20397028","-85.89858889","","","","","","","",""
"AXV","Neil Armstrong","40.49338889","-84.29894444","","","","","","","",""
"7KA","Tatitlek","60.86890528","-146.6864653","","","","","","","",""
"N69","Stormville","41.57698222","-73.73235278","","","","","","","",""
"CII","Choteau","47.82528056","-112.1662136","","","","","","","",""
"OPL","St Landry Parish - Ahart ","30.55840556","-92.099375","","","","","","","",""
"M40","Monroe County","33.87374861","-88.48967833","","","","","","","",""
"AZC","Colorado City Municipal","36.95994444","-113.0138889","","","","","","","",""
"Y55","Crandon Municipal","45.51662972","-88.93344694","","","","","","","",""
"PWK","Palwaukee","42.11418083","-87.90148083","","","","","","","",""
"H21","Camdenton Memorial","37.97468528","-92.69161528","","","","","","","",""
"D07","Faith Municipal","45.03609417","-102.0198803","","","","","","","",""
"AND","Anderson County","34.49494444","-82.70902778","","","","","","","",""
"T80","Kleberg County","27.55086111","-98.03091833","","","","","","","",""
"EMV","Emporia-Greensville Regional","36.68691667","-77.48280556","","","","","","","",""
"SDL","Scottsdale","33.622875","-111.9105333","","","","","","","",""
"RIW","Riverton Regional","43.064235","-108.4598411","","","","","","","",""
"PWC","Pine River Regional","46.7247875","-94.3817","","","","","","","",""
"ECS","Mondell ","43.88545056","-104.3179178","","","","","","","",""
"M52","Franklin-Wilkins","35.65131944","-88.37893444","","","","","","","",""
"TVF","Thief River Falls Regional","48.06550028","-96.18336083","","","","","","","",""
"2V6","Yuma Municipal","40.10415306","-102.7129869","","","","","","","",""
"ROX","Roseau Municipal","48.85603806","-95.69703861","","","","","","","",""
"H71","Mid-America Industrial","36.22539389","-95.33006333","","","","","","","",""
"CYW","Clay Center Municipal","39.38713889","-97.15721417","","","","","","","",""
"1F4","Madill Municipal","34.14040194","-96.81203222","","","","","","","",""
"5T5","Hillsboro Municipal","32.08348611","-97.09722722","","","","","","","",""
"0B8","Elizabeth ","41.25130806","-72.03161139","","","","","","","",""
"VUJ","Stanly County","35.41669472","-80.15079556","","","","","","","",""
"DQH","Douglas Municipal","31.47780833","-82.85961556","","","","","","","",""
"PIB","Hattiesburg-Laurel Regional","31.46714944","-89.33705778","","","","","","","",""
"CNW","TSTC-Waco","31.63783139","-97.07413889","","","","","","","",""
"6A3","Andrews-Murphy","35.19453167","-83.86490194","","","","","","","",""
"MRF","Marfa Municipal","30.37147222","-104.0166944","","","","","","","",""
"4K0","Pedro Bay","59.78960972","-154.1238331","","","","","","","",""
"I68","Lebanon-Warren County","39.46217306","-84.25184722","","","","","","","",""
"6J0","Corporate","33.79463889","-81.24586111","","","","","","","",""
"63C","Adams County Legion ","43.96117222","-89.78804889","","","","","","","",""
"RUE","Russellville Municipal","35.25914667","-93.09326611","","","","","","","",""
"HHW","Stan Stamper Municipal","34.03482556","-95.54190611","","","","","","","",""
"ETC","Edgecombe County","35.93710083","-77.54663833","","","","","","","",""
"MO6","Washington Memorial","38.59163472","-90.99761444","","","","","","","",""
"SPF","Black Hills-Clyde Ice ","44.48022222","-103.7768889","","","","","","","",""
"SEP","Clark Field Municipal","32.21532333","-98.17766722","","","","","","","",""
"M21","Muhlenberg County","37.22561111","-87.15752778","","","","","","","",""
"GBD","Great Bend Municipal","38.34441861","-98.85917028","","","","","","","",""
"4B6","Ticonderoga Muni","43.87700278","-73.41317639","","","","","","","",""
"7A2","Demopolis Municipal","32.46381944","-87.95406389","","","","","","","",""
"JVL","Rock County","42.61958222","-89.04034028","","","","","","","",""
"35D","Padgham ","42.53098278","-85.82513556","","","","","","","",""
"X59","Valkaria","27.96196472","-80.55977556","","","","","","","",""
"ND06","Cavalier Municipal","48.78388139","-97.62981028","","","","","","","",""
"A79","Chignik Lake","56.25504722","-158.7753614","","","","","","","",""
"K54","Teller","65.24089806","-166.3360067","","","","","","","",""
"CVO","Corvallis Muni","44.49719361","-123.2898297","","","","","","","",""
"4K5","Ouzinkie","57.92287611","-152.5005111","","","","","","","",""
"PKA","Napaskiak","60.70369056","-161.7767367","","","","","","","",""
"AOC","Arco-Butte County","43.60343056","-113.3340972","","","","","","","",""
"0M1","Scott ","35.63778","-88.127995","","","","","","","",""
"RFG","Refugio-Rooke ","28.29361694","-97.32304833","","","","","","","",""
"UNU","Dodge County","43.42658333","-88.70322222","","","","","","","",""
"CWV","Claxton-Evans County","32.19505556","-81.86955556","","","","","","","",""
"JER","Jerome County","42.72663639","-114.4571506","","","","","","","",""
"1B0","Dexter Regional","45.00839444","-69.23976722","","","","","","","",""
"9A4","Lawrence County ","34.65938889","-87.34883333","","","","","","","",""
"3CU","Cable Union","46.19424889","-91.24640972","","","","","","","",""
"SGJ","St. Augustine","29.95925","-81.33975","","","","","","","",""
"Y15","Cheboygan City-County","45.65371028","-84.51927306","","","","","","","",""
"4R7","Eunice","30.46628389","-92.42379917","","","","","","","",""
"L39","Leesville","31.16819444","-93.34245833","","","","","","","",""
"F41","Ennis Municipal","32.32969444","-96.66388889","","","","","","","",""
"4O4","McCurtain County Regional","33.909325","-94.85835278","","","","","","","",""
"N12","Lakewood","40.0667825","-74.17764167","","","","","","","",""
"9I3","West Liberty","37.91453139","-83.25212111","","","","","","","",""
"JES","Jesup-Wayne County","31.55408333","-81.88344444","","","","","","","",""
"AXS","Altus Municipal","34.69878194","-99.3381","","","","","","","",""
"56M","Warsaw Municipal","38.34688889","-93.345425","","","","","","","",""
"AKO","Akron-Washington Co","40.17563333","-103.2220278","","","","","","","",""
"MCB","McComb-Pike County","31.17845444","-90.47187528","","","","","","","",""
"5T6","Dona Ana County  At Santa Teresa","31.88098556","-106.7048131","","","","","","","",""
"DYL","Doylestown","40.33305028","-75.12233833","","","","","","","",""
"RCR","Fulton County","41.06554833","-86.18170444","","","","","","","",""
"Q41","Floydada Municipal","34.00230056","-101.330435","","","","","","","",""
"PEA","Pella Municipal","41.40006667","-92.94588333","","","","","","","",""
"3A0","Grove Hill Municipal","31.68932389","-87.7613875","","","","","","","",""
"O47","Prague Municipal","35.48201417","-96.71862944","","","","","","","",""
"LKV","Lake County","42.16111111","-120.3990703","","","","","","","",""
"GLR","Otsego County","45.01354806","-84.70318944","","","","","","","",""
"3N8","Mahnomen County ","47.25996056","-95.92809778","","","","","","","",""
"GPH","Clay County Regional","39.33046528","-94.30997361","","","","","","","",""
"CVK","Sharp County Regional","36.26487139","-91.56264111","","","","","","","",""
"ARB","Ann Arbor Municipal","42.22298361","-83.74560722","","","","","","","",""
"FFT","Capital City","38.18248861","-84.90470083","","","","","","","",""
"48D","Clare Municipal","43.83111111","-84.74133333","","","","","","","",""
"BXK","Buckeye Municipal","33.42088556","-112.6863","","","","","","","",""
"M70","Pocahontas Municipal","36.24551111","-90.95520444","","","","","","","",""
"CYS","Cheyenne","41.1557225","-104.8118381","","","","","","","",""
"59B","Newton ","45.63199111","-70.24728944","","","","","","","",""
"PYM","Plymouth Municipal","41.90902444","-70.72878778","","","","","","","",""
"1A6","Middlesboro-Bell County","36.6106375","-83.73741611","","","","","","","",""
"MFD","Mansfield Lahm Municipal","40.82141667","-82.51663889","","","","","","","",""
"FKR","Frankfort Municipal","40.27343083","-86.56217028","","","","","","","",""
"COI","Merritt Island","28.34158944","-80.6854975","","","","","","","",""
"ND44","Mott Municipal","46.359725","-102.3229389","","","","","","","",""
"9K2","Kokhanok","59.43264556","-154.8027058","","","","","","","",""
"JWG","Watonga","35.86469444","-98.42075","","","","","","","",""
"ELV","Elfin Cove SPB","58.19518417","-136.3473928","","","","","","","",""
"CAG","Craig-Moffat","40.49522139","-107.5216467","","","","","","","",""
"9M8","Sheridan-Grant County Regional","34.32842917","-92.35098583","","","","","","","",""
"BEH","Southwest Michigan Regional","42.12858333","-86.4285","","","","","","","",""
"OEO","L. O. Simenstad Municipal","45.30858944","-92.69008056","","","","","","","",""
"OGA","Searle ","41.11961111","-101.7689444","","","","","","","",""
"HKS","Hawkins ","32.3347725","-90.22253167","","","","","","","",""
"2F7","Commerce Municipal","33.29288889","-95.89641806","","","","","","","",""
"IML","Imperial Municipal","40.50930556","-101.6205278","","","","","","","",""
"TRM","Desert Resorts Regional","33.62789944","-116.1601194","","","","","","","",""
"GCK","Garden City Regional","37.92751556","-100.7244147","","","","","","","",""
"K46","Blair Municipal","41.41805139","-96.1136275","","","","","","","",""
"4G6","Hornell Muni","42.38214444","-77.6821125","","","","","","","",""
"4A6","Scottsboro Municipal","34.68897278","-86.0058125","","","","","","","",""
"A61","Tuntutuliak","60.33534556","-162.6670094","","","","","","","",""
"2M0","Princeton-Caldwell County","37.11560444","-87.85556944","","","","","","","",""
"MMK","Meriden-Markham Municipal","41.50871472","-72.82947833","","","","","","","",""
"X47","Flagler County","29.46738889","-81.20633333","","","","","","","",""
"Z84","Clear","64.30120361","-149.1201436","","","","","","","",""
"68A","Wrangell SPB","56.466325","-132.3800181","","","","","","","",""
"FIG","Clearfield-Lawrence","41.04861306","-78.41310306","","","","","","","",""
"1MO","Mountain Grove Memorial","37.12071889","-92.311245","","","","","","","",""
"COU","Columbia Regional","38.81809306","-92.21962917","","","","","","","",""
"55J","Fernandina Beach Municipal","30.61170083","-81.462345","","","","","","","",""
"16G","Seneca County","41.09405556","-83.2125","","","","","","","",""
"6M8","Marked Tree Municipal","35.53341472","-90.40149028","","","","","","","",""
"OXC","Waterbury-Oxford","41.47855556","-73.13525","","","","","","","",""
"MZJ","Pinal Airpark","32.50984389","-111.3253339","","","","","","","",""
"06C","Schaumburg","41.98934083","-88.10124278","","","","","","","",""
"6L4","Logan County","37.85567778","-81.91589722","","","","","","","",""
"0V7","Kayenta","36.70972139","-110.2367978","","","","","","","",""
"MSS","Massena Int'l-Richards ","44.93582722","-74.84554583","","","","","","","",""
"21F","Jacksboro Municipal","33.228725","-98.14671083","","","","","","","",""
"5T9","Maverick County Meml Intl","28.85719361","-100.5122997","","","","","","","",""
"5R3","Rusty Allen ","30.498585","-97.96947222","","","","","","","",""
"2S1","Vashon Municipal","47.45815333","-122.4773506","","","","","","","",""
"I57","Pike County","39.16693333","-82.928175","","","","","","","",""
"Z91","Birch Creek","66.27399583","-145.8240381","","","","","","","",""
"6G1","Titusville","41.60880861","-79.74133111","","","","","","","",""
"CGE","Cambridge-Dorchester","38.53930556","-76.03036111","","","","","","","",""
"PSF","Pittsfield Municipal","42.42684667","-73.29292806","","","","","","","",""
"JHW","Chautauqua Cty","42.15336861","-79.258035","","","","","","","",""
"LNY","Lanai","20.78561111","-156.9514181","","","","","","","",""
"FOD","Fort Dodge Municipal","42.55145611","-94.19255111","","","","","","","",""
"Q16","Reserve","33.70005472","-108.8506214","","","","","","","",""
"W97","Middle Peninsula Regional","37.52122778","-76.7646825","","","","","","","",""
"M34","Kentucky Dam State Park","37.00950028","-88.29586639","","","","","","","",""
"10C","Galt","42.40266472","-88.37588917","","","","","","","",""
"0B7","Warren-Sugar Bush","44.11672722","-72.82705806","","","","","","","",""
"TYQ","Indianapolis Terry","40.03064972","-86.2514375","","","","","","","",""
"5R5","Wharton Municipal","29.25427778","-96.15438889","","","","","","","",""
"JYR","Municipal","40.89675","-97.62277778","","","","","","","",""
"1D2","Canton -Plymouth -  Mettetal","42.35003667","-83.45826833","","","","","","","",""
"HSE","Billy Mitchell","35.2327875","-75.617795","","","","","","","",""
"FMN","Four Corners Regional","36.74125","-108.2299444","","","","","","","",""
"MAW","Malden Municipal","36.60055694","-89.99220278","","","","","","","",""
"GAI","Montgomery Co Airpark","39.16833611","-77.166","","","","","","","",""
"RAL","Riverside Municipal","33.95187528","-117.4451017","","","","","","","",""
"P14","Holbrook Municipal","34.93891389","-110.1395656","","","","","","","",""
"ESF","Esler Regional","31.3949025","-92.29577194","","","","","","","",""
"LLJ","Challis","44.52297806","-114.2175642","","","","","","","",""
"F87","Farmerville","32.72495583","-92.33716583","","","","","","","",""
"SWD","Seward","60.12693833","-149.4188122","","","","","","","",""
"29D","Grove City","41.14597611","-80.16592194","","","","","","","",""
"MVL","Morrisville-Stowe State","44.53460806","-72.61400444","","","","","","","",""
"MDR","Medfra","63.10577694","-154.7189806","","","","","","","",""
"FOA","Flora","38.66494528","-88.45299556","","","","","","","",""
"U02","McCarley","43.20925","-112.3495861","","","","","","","",""
"L84","Lost Hills-Kern County","35.62357083","-119.6862383","","","","","","","",""
"UUV","Sullivan Regional","38.23343056","-91.16433333","","","","","","","",""
"T18","Brooks County","27.20683333","-98.12117083","","","","","","","",""
"PPC","Prospect Creek","66.81288139","-150.6437925","","","","","","","",""
"YIP","Willow Run","42.2379275","-83.53040889","","","","","","","",""
"BRD","Brainerd-Crow Wing County Regional","46.39785806","-94.1372275","","","","","","","",""
"HHF","Hemphill County","35.89530778","-100.4036397","","","","","","","",""
"EFK","Newport State","44.88879722","-72.22915833","","","","","","","",""
"VDZ","Valdez","61.13395028","-146.24836","","","","","","","",""
"BAM","Battle Mountain","40.59904583","-116.8743358","","","","","","","",""
"HMZ","Bedford County","40.08536861","-78.51221778","","","","","","","",""
"RUT","Rutland State","43.52990694","-72.949615","","","","","","","",""
"RHV","Reid-Hillview of Santa Clara Co","37.33287306","-121.8197947","","","","","","","",""
"28J","Kay Larkin","29.65863889","-81.68855556","","","","","","","",""
"O28","Ells Field-Willits Municipal","39.45129778","-123.3722844","","","","","","","",""
"Z40","Goose Bay","61.39445139","-149.8455556","","","","","","","",""
"VMR","Harold Davidson ","42.76528917","-96.93425472","","","","","","","",""
"MMV","McMinnville Muni","45.19444444","-123.1359444","","","","","","","",""
"HKY","Hickory Municipal","35.74114639","-81.38954889","","","","","","","",""
"MNM","Menominee-Marinette Twin County","45.12665028","-87.63844056","","","","","","","",""
"2A3","Larsen Bay","57.53510667","-153.9784169","","","","","","","",""
"5B3","Danielson","41.81974056","-71.90096306","","","","","","","",""
"46A","Blairsville","34.85508722","-83.996855","","","","","","","",""
"POH","Pocahontas Municipal","42.74280556","-94.64730556","","","","","","","",""
"SSI","Malcolm McKinnon","31.1515925","-81.39134667","","","","","","","",""
"ADS","Addison","32.96855944","-96.83644778","","","","","","","",""
"GVT","Majors","33.06783889","-96.0653325","","","","","","","",""
"CBG","Cambridge Municipal","45.55854639","-93.26464361","","","","","","","",""
"MMI","McMinn County","35.39730333","-84.56256861","","","","","","","",""
"FYE","Fayette County","35.20592","-89.39441667","","","","","","","",""
"DKK","Dunkirk Municipal","42.49333528","-79.27204167","","","","","","","",""
"NK03","Kamp ","43.13472111","-75.64890417","","","","","","","",""
"K15","Linn Creek-Grand Glaize Memorial","38.11045","-92.68054583","","","","","","","",""
"DAW","Skyhaven","43.28406194","-70.92925472","","","","","","","",""
"6B4","Frankfort-Highland","43.02090306","-75.17043861","","","","","","","",""
"EZI","Kewanee Municipal","41.20520361","-89.96386","","","","","","","",""
"U55","Panguitch Municipal","37.84523333","-112.3918731","","","","","","","",""
"CZT","Dimmit County","28.52225111","-99.82363444","","","","","","","",""
"APC","Napa County","38.21319444","-122.2806944","","","","","","","",""
"AIT","Aitkin Municipal","46.5484225","-93.6768","","","","","","","",""
"O57","Bryant ","38.26241917","-119.2257094","","","","","","","",""
"12D","Tower Municipal","47.81833333","-92.29166667","","","","","","","",""
"MPE","Philadelphia Municipal","32.7995775","-89.12589472","","","","","","","",""
"4M1","Carroll County","36.38340333","-93.61685667","","","","","","","",""
"SIG","Fernando Luis Ribas Dominicci","18.45675","-66.09883333","","","","","","","",""
"P52","Cottonwood","34.73002111","-112.0351569","","","","","","","",""
"F70","French Valley","33.57605556","-117.1279722","","","","","","","",""
"CHU","Houston County","43.59635861","-91.50394639","","","","","","","",""
"BST","Belfast Municipal","44.40966667","-69.01225","","","","","","","",""
"FRM","Fairmont Municipal","43.64394111","-94.41561556","","","","","","","",""
"Q53","Franklin ","38.30491306","-121.4296736","","","","","","","",""
"1G6","Michael ","43.18166667","-76.12777778","","","","","","","",""
"I50","Stanton","37.85008167","-83.84575194","","","","","","","",""
"3V4","Fort Morgan Municipal","40.33423194","-103.8039508","","","","","","","",""
"EPH","Ephrata Muni","47.30758333","-119.5158889","","","","","","","",""
"ABR","Aberdeen Regional","45.44905556","-98.42183333","","","","","","","",""
"MLY","Manley Hot Springs","64.99756472","-150.6441297","","","","","","","",""
"L92","Alamo Landing ","37.36246083","-115.1944622","","","","","","","",""
"60F","Seymour Municipal","33.64870417","-99.26063056","","","","","","","",""
"K34","Municipal","38.80708333","-94.95602778","","","","","","","",""
"SFM","Sanford Regional","43.39386111","-70.70800028","","","","","","","",""
"9K7","Ellsworth Municipal ","38.74750889","-98.23061222","","","","","","","",""
"MTO","Coles County Memorial","39.47793722","-88.27923833","","","","","","","",""
"EII","Egegik","58.18837472","-157.3809872","","","","","","","",""
"27A","Elbert County-Patz ","34.09519722","-82.81586417","","","","","","","",""
"20N","Kingston-Ulster","41.9852525","-73.96409722","","","","","","","",""
"L08","Borrego Valley","33.25902778","-116.3209722","","","","","","","",""
"HWI","Hawk Inlet SPB","58.12744139","-134.7559531","","","","","","","",""
"ISO","Kinston Regional Jetport At Stallin","35.32807944","-77.61552611","","","","","","","",""
"TPL","Draughon-Miller Central Texas Regional","31.1525","-97.40777778","","","","","","","",""
"ND33","Linton Municipal","46.21830472","-100.2450028","","","","","","","",""
"57B","Islesboro","44.30285556","-68.91058722","","","","","","","",""
"BDG","Blanding Muni","37.58303472","-109.4832889","","","","","","","",""
"5CD","Chandalar Shelf","68.06543944","-149.5797392","","","","","","","",""
"E24","Whiteriver","33.81255056","-109.9867658","","","","","","","",""
"PRG","Edgar County","39.70015944","-87.66961861","","","","","","","",""
"L71","California City Municipal","35.15125306","-118.0166667","","","","","","","",""
"DCY","Daviess County","38.70042333","-87.12973222","","","","","","","",""
"BGQ","Big Lake Strip Nr 2","61.53556806","-149.8138975","","","","","","","",""
"T49","Big Spring McMahon-Wrinkle","32.21261111","-101.5216389","","","","","","","",""
"KPB","Point Baker SPB","56.35185972","-133.6225864","","","","","","","",""
"MO85","Lawrence Smith Memorial","38.61102222","-94.34213056","","","","","","","",""
"29G","Portage County","41.210195","-81.25163083","","","","","","","",""
"ANW","Ainsworth Municipal","42.57922222","-99.99297222","","","","","","","",""
"Q31","Sequoia ","36.44856139","-119.3190056","","","","","","","",""
"CLK","Clinton Municipal","35.53832778","-98.932695","","","","","","","",""
"CHD","Chandler Municipal","33.26908333","-111.8111389","","","","","","","",""
"7I7","Bellefontaine Municipal","40.41208333","-83.73686111","","","","","","","",""
"2A0","Mark Anton","35.48624611","-84.93109722","","","","","","","",""
"L49","South Lafourche","29.44482222","-90.26111667","","","","","","","",""
"ILG","New Castle County ","39.67872222","-75.60652778","","","","","","","",""
"SAA","Shively ","41.44485944","-106.8235264","","","","","","","",""
"COM","Coleman Municipal","31.84113889","-99.40361111","","","","","","","",""
"8S2","Cashmere-Dryden","47.51484611","-120.4848025","","","","","","","",""
"SD12","Wilder","44.43080278","-97.56118861","","","","","","","",""
"LKU","Louisa County / Freeman ","38.00983333","-77.97013889","","","","","","","",""
"RAC","John H Batten ","42.76119139","-87.81389806","","","","","","","",""
"UAO","Aurora State","45.24713889","-122.7700556","","","","","","","",""
"X14","Labelle Municipal","26.74423278","-81.43257556","","","","","","","",""
"K78","Abilene Municipal","38.90405583","-97.23585389","","","","","","","",""
"JYO","Leesburg Executive ","39.07797222","-77.5575","","","","","","","",""
"DEE","Deering","66.06820583","-162.7666028","","","","","","","",""
"MRB","Eastern Wv Reg/Shephard ","39.40193278","-77.98458139","","","","","","","",""
"AXA","Algona Municipal","43.07791056","-94.27199278","","","","","","","",""
"42C","White Cloud","43.55974139","-85.77421944","","","","","","","",""
"MYK","May Creek","61.33567417","-142.686775","","","","","","","",""
"12Y","Le Sueur Municipal","44.43746472","-93.91274083","","","","","","","",""
"Q35","Springerville Babbitt ","34.1286575","-109.3114756","","","","","","","",""
"MXO","Monticello Municipal","42.22611111","-91.16708333","","","","","","","",""
"CVN","Clovis Municipal","34.42513889","-103.0792778","","","","","","","",""
"DEQ","J Lynn Helms Sevier County","34.04699556","-94.39936556","","","","","","","",""
"W44","Asheboro Municipal","35.6538825","-79.8950425","","","","","","","",""
"NEW","Lakefront","30.04242056","-90.02825694","","","","","","","",""
"C09","Morris Municipal","41.42541667","-88.41869444","","","","","","","",""
"PBV","St. George","56.57735278","-169.6637361","","","","","","","",""
"2J3","Louisville Municipal","32.98654083","-82.38568139","","","","","","","",""
"8A3","Livingston Municipal","36.41217389","-85.31154861","","","","","","","",""
"2R0","Waynesboro Municipal","31.64599472","-88.63475667","","","","","","","",""
"8B0","Rangeley Municipal","44.991895","-70.66462472","","","","","","","",""
"CGI","Cape Girardeau Municipal","37.22531694","-89.57075167","","","","","","","",""
"2O7","Independence","36.81382111","-118.2050956","","","","","","","",""
"DUT","Unalaska","53.90013889","-166.5435","","","","","","","",""
"UBX","Cuba Municipal","38.06877667","-91.42885694","","","","","","","",""
"E11","Andrews County","32.33111111","-102.5295278","","","","","","","",""
"4M9","Corning Municipal","36.40423139","-90.64792639","","","","","","","",""
"X44","Watson Island Base","25.77833333","-80.17027778","","","","","","","",""
"UCA","Oneida Cty","43.14511944","-75.38385889","","","","","","","",""
"M11","Copiah County","31.90293639","-90.36870222","","","","","","","",""
"0K7","Humboldt Municipal","42.7360825","-94.24524167","","","","","","","",""
"O41","Watts-Woodland","38.67387639","-121.8720772","","","","","","","",""
"M99","Saline County/Watts ","34.55656472","-92.60693972","","","","","","","",""
"GVL","Lee Gilmer Memorial","34.27290389","-83.82681333","","","","","","","",""
"ELI","Elim","64.61400972","-162.2700681","","","","","","","",""
"SAF","Santa Fe Municipal","35.61677778","-106.0881389","","","","","","","",""
"PAK","Port Allen","21.89686833","-159.6033217","","","","","","","",""
"M53","Humboldt Municipal","35.80218","-88.87494944","","","","","","","",""
"K62","Falmouth Pendleton County","38.70423611","-84.39160417","","","","","","","",""
"D19","Quentin Aanenson ","43.62080278","-96.21864028","","","","","","","",""
"0C4","Pender Municipal","42.11388722","-96.72892556","","","","","","","",""
"WDR","Winder","33.98227778","-83.66808333","","","","","","","",""
"3U7","Benchmark","47.48133194","-112.8697678","","","","","","","",""
"NQA","Millington Municipal","35.35666667","-89.87027778","","","","","","","",""
"M77","Howard County","33.99673833","-93.83813583","","","","","","","",""
"M78","Malvern Municipal","34.33331583","-92.76149944","","","","","","","",""
"JHM","Kapalua","20.96293639","-156.6730317","","","","","","","",""
"O09","Round Valley","39.79015444","-123.2664025","","","","","","","",""
